number,time,event,station
77,55.25806313477446,New patient priority A1,Region 1
77,61.66306259679823,Ambulance dispatched,Ambulance 1.0
77,90.3198465010552,Task complete,Ambulance 1.0
78,80.29105727281757,Ambulance return to hub,Ambulance 2.0
78,92.79105727281757,Task complete,Ambulance 2.0
79,53.51472762070209,New patient priority A1,Region 1
79,58.05883439390415,Ambulance dispatched,Ambulance 1.3
79,93.28296243199006,Task complete,Ambulance 1.3
80,74.42019250130305,New patient priority A1,Region 2
80,74.42019250130305,Ambulance dispatched,Ambulance 2.14
80,94.44234619729362,Task complete,Ambulance 2.14
81,52.78061516821913,New patient priority A2,Region 0
81,52.78061516821913,Ambulance dispatched,Ambulance 0.17
81,94.56848432919055,Task complete,Ambulance 0.17
82,75.38190246573825,New patient priority A1,Region 6
82,75.38190246573825,Ambulance dispatched,Ambulance 6.5
82,94.7858774336535,Task complete,Ambulance 6.5
83,73.34552799250059,New patient priority B,Region 6
83,73.34552799250059,Ambulance dispatched,Ambulance 6.3
83,99.19554457107591,Task complete,Ambulance 6.3
84,72.90732654680245,New patient priority B,Region 5
84,72.90732654680245,Ambulance dispatched,Ambulance 5.1
84,100.51713798089105,Task complete,Ambulance 5.1
85,72.22616551346607,New patient priority B,Region 2
85,72.22616551346607,Ambulance dispatched,Ambulance 2.12
85,100.55480495180866,Task complete,Ambulance 2.12
86,72.14688999100602,New patient priority A2,Region 6
86,72.14688999100602,Ambulance dispatched,Ambulance 6.2
86,100.57018704492054,Task complete,Ambulance 6.2
87,76.5465876349739,New patient priority A1,Region 6
87,76.5465876349739,Ambulance dispatched,Ambulance 6.6
87,100.96223450864494,Task complete,Ambulance 6.6
88,74.36279884180385,New patient priority B,Region 6
88,74.36279884180385,Ambulance dispatched,Ambulance 6.4
88,102.00130558427205,Task complete,Ambulance 6.4
89,87.9990914706814,New patient priority A2,Region 6
89,87.9990914706814,Ambulance dispatched,Ambulance 6.10
89,104.57222602999089,Task complete,Ambulance 6.10
90,80.15708838661772,New patient priority B,Region 6
90,80.15708838661772,Ambulance dispatched,Ambulance 6.8
90,104.72133543963541,Task complete,Ambulance 6.8
91,23.84519249318396,New patient priority A2,Region 0
91,23.84519249318396,Ambulance dispatched,Ambulance 0.2
91,105.0123486581391,Task complete,Ambulance 0.2
92,73.96839324377105,New patient priority A1,Region 5
92,73.96839324377105,Ambulance dispatched,Ambulance 5.2
92,105.11435809908936,Task complete,Ambulance 5.2
93,54.24663518712425,New patient priority B,Region 0
93,54.24663518712425,Ambulance dispatched,Ambulance 0.0
93,105.14268833110788,Task complete,Ambulance 0.0
94,67.00245674176941,New patient priority A2,Region 2
94,67.00245674176941,Ambulance dispatched,Ambulance 2.10
94,107.8819426619122,Task complete,Ambulance 2.10
95,54.30969719091215,New patient priority B,Region 4
95,82.87454821922516,Ambulance dispatched,Ambulance 4.9
95,107.99405059185807,Task complete,Ambulance 4.9
96,57.82751309258793,New patient priority B,Region 1
96,63.71700190666805,Ambulance dispatched,Ambulance 1.6
96,109.49088417375474,Task complete,Ambulance 1.6
97,83.3657337172913,New patient priority B,Region 6
97,83.3657337172913,Ambulance dispatched,Ambulance 6.9
97,109.55279098680444,Task complete,Ambulance 6.9
98,99.19554457107591,Ambulance return to hub,Ambulance 6.3
98,111.69554457107591,Task complete,Ambulance 6.3
99,78.14140431143126,New patient priority B,Region 2
99,78.14140431143126,Ambulance dispatched,Ambulance 2.17
99,112.06871358583379,Task complete,Ambulance 2.17
100,86.01903558001035,New patient priority A2,Region 5
100,86.01903558001035,Ambulance dispatched,Ambulance 5.8
100,112.52005365537309,Task complete,Ambulance 5.8
101,51.15188143066497,New patient priority A1,Region 1
101,51.15188143066497,Ambulance dispatched,Ambulance 1.17
101,112.80875364447047,Task complete,Ambulance 1.17
102,91.01118256059456,New patient priority B,Region 5
102,91.01118256059456,Ambulance dispatched,Ambulance 5.9
102,112.86052382627884,Task complete,Ambulance 5.9
103,100.96223450864494,Ambulance return to hub,Ambulance 6.6
103,113.46223450864494,Task complete,Ambulance 6.6
104,62.002458270952175,New patient priority A1,Region 2
104,62.002458270952175,Ambulance dispatched,Ambulance 2.9
104,113.85010794045525,Task complete,Ambulance 2.9
105,73.40693017089738,New patient priority A2,Region 2
105,73.40693017089738,Ambulance dispatched,Ambulance 2.13
105,113.89113433921854,Task complete,Ambulance 2.13
106,97.57207150297285,New patient priority A2,Region 6
106,97.57207150297285,Ambulance dispatched,Ambulance 6.14
106,114.36256563102542,Task complete,Ambulance 6.14
107,63.9967709668396,New patient priority B,Region 0
107,70.19441185921147,Ambulance dispatched,Ambulance 0.12
107,115.45110369858998,Task complete,Ambulance 0.12
108,62.7451939880014,New patient priority B,Region 3
108,66.38598385218381,Ambulance dispatched,Ambulance 3.6
108,115.82618497873491,Task complete,Ambulance 3.6
109,94.32575472982344,New patient priority B,Region 5
109,94.32575472982344,Ambulance dispatched,Ambulance 5.10
109,116.93926095475251,Task complete,Ambulance 5.10
110,77.39443561597199,New patient priority B,Region 5
110,77.39443561597199,Ambulance dispatched,Ambulance 5.5
110,117.43992199164944,Task complete,Ambulance 5.5
111,61.72363341846321,New patient priority B,Region 1
111,78.84381540787498,Ambulance dispatched,Ambulance 1.9
111,119.29038189765822,Task complete,Ambulance 1.9
112,76.62168798303311,New patient priority A1,Region 2
112,76.62168798303311,Ambulance dispatched,Ambulance 2.16
112,119.65492796093736,Task complete,Ambulance 2.16
113,81.93118648219563,New patient priority A2,Region 5
113,81.93118648219563,Ambulance dispatched,Ambulance 5.7
113,120.06095958394607,Task complete,Ambulance 5.7
114,53.838979703855266,New patient priority A2,Region 3
114,53.838979703855266,Ambulance dispatched,Ambulance 3.17
114,120.17649769268039,Task complete,Ambulance 3.17
115,96.49780675142887,New patient priority B,Region 6
115,96.49780675142887,Ambulance dispatched,Ambulance 6.13
115,120.3078565265402,Task complete,Ambulance 6.13
116,66.71834697057595,New patient priority A1,Region 1
116,84.18092717502654,Ambulance dispatched,Ambulance 1.15
116,120.783486006966,Task complete,Ambulance 1.15
117,50.15188102872248,New patient priority A1,Region 1
117,50.15188102872248,Ambulance dispatched,Ambulance 1.16
117,122.1042784055351,Task complete,Ambulance 1.16
118,100.39923108606547,New patient priority B,Region 5
118,100.39923108606547,Ambulance dispatched,Ambulance 5.15
118,122.41112409560108,Task complete,Ambulance 5.15
119,99.64838287901593,New patient priority A1,Region 6
119,99.64838287901593,Ambulance dispatched,Ambulance 6.16
119,123.79902882501342,Task complete,Ambulance 6.16
120,97.16613063939327,New patient priority A2,Region 5
120,97.16613063939327,Ambulance dispatched,Ambulance 5.12
120,123.82796291491108,Task complete,Ambulance 5.12
121,98.57220586643119,New patient priority A1,Region 6
121,98.57220586643119,Ambulance dispatched,Ambulance 6.15
121,124.30505530179565,Task complete,Ambulance 6.15
122,50.3663949616897,New patient priority B,Region 3
122,50.3663949616897,Ambulance dispatched,Ambulance 3.14
122,125.01445701859492,Task complete,Ambulance 3.14
123,99.20473683382001,New patient priority B,Region 5
123,99.20473683382001,Ambulance dispatched,Ambulance 5.14
123,126.0384796788248,Task complete,Ambulance 5.14
124,101.95165362591455,New patient priority A1,Region 5
124,101.95165362591455,Ambulance dispatched,Ambulance 5.16
124,127.4225705617363,Task complete,Ambulance 5.16
125,72.73717946201272,New patient priority A1,Region 0
125,105.14268833110788,Ambulance dispatched,Ambulance 0.0
125,128.808579694933,Task complete,Ambulance 0.0
126,98.17535635859849,New patient priority A1,Region 5
126,98.17535635859849,Ambulance dispatched,Ambulance 5.13
126,131.84087944124775,Task complete,Ambulance 5.13
127,83.59511220005028,New patient priority B,Region 2
127,88.84446006767125,Ambulance dispatched,Ambulance 2.6
127,132.8771234744827,Task complete,Ambulance 2.6
128,73.34418489184883,New patient priority A2,Region 1
128,109.49088417375474,Ambulance dispatched,Ambulance 1.6
128,136.14258274938476,Task complete,Ambulance 1.6
129,59.43978355451934,New patient priority B,Region 0
129,62.518721339609385,Ambulance dispatched,Ambulance 0.3
129,137.13714802534338,Task complete,Ambulance 0.3
130,70.34488124874547,New patient priority B,Region 1
130,90.3198465010552,Ambulance dispatched,Ambulance 1.0
130,137.95062436184924,Task complete,Ambulance 1.0
131,109.31125900004173,New patient priority B,Region 6
131,113.46223450864494,Ambulance dispatched,Ambulance 6.6
131,138.4182020472032,Task complete,Ambulance 6.6
132,88.29563000383502,New patient priority A2,Region 2
132,92.79105727281757,Ambulance dispatched,Ambulance 2.0
132,139.33784583930964,Task complete,Ambulance 2.0
133,104.17745326323993,New patient priority A2,Region 5
133,104.17745326323993,Ambulance dispatched,Ambulance 5.17
133,139.57552723397598,Task complete,Ambulance 5.17
134,76.05842321001985,New patient priority B,Region 5
134,76.05842321001985,Ambulance dispatched,Ambulance 5.4
134,140.15717878223484,Task complete,Ambulance 5.4
135,71.54877818055098,New patient priority A2,Region 5
135,71.54877818055098,Ambulance dispatched,Ambulance 5.0
135,140.83219105824102,Task complete,Ambulance 5.0
136,116.74810516668138,New patient priority B,Region 5
136,123.82796291491108,Ambulance dispatched,Ambulance 5.12
136,142.4985393546934,Task complete,Ambulance 5.12
137,75.38056163376841,New patient priority A2,Region 1
137,120.783486006966,Ambulance dispatched,Ambulance 1.15
137,147.41800209456335,Task complete,Ambulance 1.15
138,56.40653730631495,New patient priority A1,Region 4
138,107.99405059185807,Ambulance dispatched,Ambulance 4.9
138,148.10120382697662,Task complete,Ambulance 4.9
139,58.532344273051606,New patient priority B,Region 3
139,63.27020086849286,Ambulance dispatched,Ambulance 3.9
139,150.19960321926945,Task complete,Ambulance 3.9
140,71.29956553663166,New patient priority A2,Region 0
140,88.17028867729472,Ambulance dispatched,Ambulance 0.9
140,151.29759023022535,Task complete,Ambulance 0.9
141,114.31100028268376,New patient priority A2,Region 6
141,124.30505530179565,Ambulance dispatched,Ambulance 6.15
141,152.51803164390128,Task complete,Ambulance 6.15
142,74.36154930522676,New patient priority B,Region 1
142,119.29038189765822,Ambulance dispatched,Ambulance 1.9
142,153.5354340021511,Task complete,Ambulance 1.9
143,74.82237369829097,New patient priority A2,Region 0
143,128.808579694933,Ambulance dispatched,Ambulance 0.0
143,154.0051816589459,Task complete,Ambulance 0.0
144,55.7206186508022,New patient priority A1,Region 3
144,57.672740581336015,Ambulance dispatched,Ambulance 3.3
144,157.7787245842848,Task complete,Ambulance 3.3
145,96.56583710014664,New patient priority B,Region 2
145,132.8771234744827,Ambulance dispatched,Ambulance 2.6
145,158.52090699296565,Task complete,Ambulance 2.6
146,105.34690986500073,New patient priority A1,Region 6
146,111.69554457107591,Ambulance dispatched,Ambulance 6.3
146,159.43974068129447,Task complete,Ambulance 6.3
147,95.19473661642489,New patient priority B,Region 2
147,113.85010794045525,Ambulance dispatched,Ambulance 2.9
147,161.4624606580997,Task complete,Ambulance 2.9
148,55.38302250832356,New patient priority A2,Region 2
148,55.38302250832356,Ambulance dispatched,Ambulance 2.7
148,162.14801484568977,Task complete,Ambulance 2.7
149,72.4281727847773,New patient priority A1,Region 3
149,115.82618497873491,Ambulance dispatched,Ambulance 3.6
149,163.8723175187809,Task complete,Ambulance 3.6
150,117.82643425775919,New patient priority B,Region 6
150,138.4182020472032,Ambulance dispatched,Ambulance 6.6
150,164.5704400504066,Task complete,Ambulance 6.6
151,118.99549773258695,New patient priority A1,Region 5
151,140.83219105824102,Ambulance dispatched,Ambulance 5.0
151,166.5814714385976,Task complete,Ambulance 5.0
152,78.03761811932694,New patient priority A1,Region 1
152,137.95062436184924,Ambulance dispatched,Ambulance 1.0
152,168.2033562689719,Task complete,Ambulance 1.0
153,92.8348940359172,New patient priority A2,Region 2
153,100.55480495180866,Ambulance dispatched,Ambulance 2.12
153,171.46820370721247,Task complete,Ambulance 2.12
154,119.58158118286288,New patient priority A2,Region 6
154,152.51803164390128,Ambulance dispatched,Ambulance 6.15
154,175.15655665828123,Task complete,Ambulance 6.15
155,68.7221378767099,New patient priority A2,Region 0
155,76.14404083445453,Ambulance dispatched,Ambulance 0.15
155,176.3408892707228,Task complete,Ambulance 0.15
156,42.73544945193761,New patient priority A1,Region 0
156,42.73544945193761,Ambulance dispatched,Ambulance 0.11
156,176.69347299862176,Task complete,Ambulance 0.11
157,70.48420993166599,New patient priority B,Region 2
157,70.48420993166599,Ambulance dispatched,Ambulance 2.11
157,183.34259471340246,Task complete,Ambulance 2.11
158,59.58165037128433,New patient priority B,Region 4
158,148.10120382697662,Ambulance dispatched,Ambulance 4.9
158,184.62311582053212,Task complete,Ambulance 4.9
159,120.33234163442863,New patient priority B,Region 5
159,142.4985393546934,Ambulance dispatched,Ambulance 5.12
159,186.08544435537584,Task complete,Ambulance 5.12
160,121.7806507286751,New patient priority B,Region 6
160,164.5704400504066,Ambulance dispatched,Ambulance 6.6
160,190.57957620878062,Task complete,Ambulance 6.6
161,112.33455989146401,New patient priority A2,Region 5
161,122.41112409560108,Ambulance dispatched,Ambulance 5.15
161,190.6558550382855,Task complete,Ambulance 5.15
162,100.95637421625258,New patient priority A2,Region 6
162,100.95637421625258,Ambulance dispatched,Ambulance 6.17
162,191.353151390303,Task complete,Ambulance 6.17
163,77.17775292068488,New patient priority A1,Region 0
163,151.29759023022535,Ambulance dispatched,Ambulance 0.9
163,195.98001405392571,Task complete,Ambulance 0.9
164,122.80308806398915,New patient priority A1,Region 6
164,175.15655665828123,Ambulance dispatched,Ambulance 6.15
164,199.96888885638546,Task complete,Ambulance 6.15
165,121.38696170641711,New patient priority B,Region 5
165,166.5814714385976,Ambulance dispatched,Ambulance 5.0
165,203.35618649556451,Task complete,Ambulance 5.0
166,75.60982065745736,New patient priority B,Region 3
166,163.8723175187809,Ambulance dispatched,Ambulance 3.6
166,206.84402398601847,Task complete,Ambulance 3.6
167,98.63140854714904,New patient priority B,Region 2
167,158.52090699296565,Ambulance dispatched,Ambulance 2.6
167,207.07886900924848,Task complete,Ambulance 2.6
168,122.38903179105695,New patient priority A2,Region 5
168,186.08544435537584,Ambulance dispatched,Ambulance 5.12
168,208.43555463488042,Task complete,Ambulance 5.12
169,99.7164081483692,New patient priority A2,Region 2
169,161.4624606580997,Ambulance dispatched,Ambulance 2.9
169,211.60628827056755,Task complete,Ambulance 2.9
170,123.48516520425517,New patient priority B,Region 5
170,190.6558550382855,Ambulance dispatched,Ambulance 5.15
170,213.70534113825974,Task complete,Ambulance 5.15
171,81.46309539457472,New patient priority B,Region 0
171,176.3408892707228,Ambulance dispatched,Ambulance 0.15
171,215.03913589248612,Task complete,Ambulance 0.15
172,123.97784211933251,New patient priority A1,Region 6
172,190.57957620878062,Ambulance dispatched,Ambulance 6.6
172,226.27535714427188,Task complete,Ambulance 6.6
173,105.53646994587007,New patient priority B,Region 2
173,211.60628827056755,Ambulance dispatched,Ambulance 2.9
173,232.1601843001873,Task complete,Ambulance 2.9
174,96.00506838021747,New patient priority B,Region 5
174,96.00506838021747,Ambulance dispatched,Ambulance 5.11
174,233.52849417713992,Task complete,Ambulance 5.11
175,120.76648646552604,New patient priority A2,Region 6
175,159.43974068129447,Ambulance dispatched,Ambulance 6.3
175,234.24371153498285,Task complete,Ambulance 6.3
176,16.585342319727516,New patient priority A2,Region 4
176,16.585342319727516,Ambulance dispatched,Ambulance 4.3
176,238.5872448167591,Task complete,Ambulance 4.3
177,102.85230233024134,New patient priority A1,Region 2
177,207.07886900924848,Ambulance dispatched,Ambulance 2.6
177,241.98772612552182,Task complete,Ambulance 2.6
178,76.82587767768652,New patient priority A1,Region 3
178,206.84402398601847,Ambulance dispatched,Ambulance 3.6
178,243.2987738560185,Task complete,Ambulance 3.6
179,90.32610314483978,New patient priority B,Region 0
179,215.03913589248612,Ambulance dispatched,Ambulance 0.15
179,243.41468947499686,Task complete,Ambulance 0.15
180,126.69079043257211,New patient priority A2,Region 5
180,208.43555463488042,Ambulance dispatched,Ambulance 5.12
180,243.48046177912676,Task complete,Ambulance 5.12
181,124.836832718631,New patient priority B,Region 5
181,203.35618649556451,Ambulance dispatched,Ambulance 5.0
181,243.79553383078277,Task complete,Ambulance 5.0
182,87.9926416110455,New patient priority A2,Region 1
182,168.2033562689719,Ambulance dispatched,Ambulance 1.0
182,246.4205727299821,Task complete,Ambulance 1.0
183,97.63067223434423,New patient priority A2,Region 2
183,139.33784583930964,Ambulance dispatched,Ambulance 2.0
183,248.06213635227977,Task complete,Ambulance 2.0
184,66.72446013915672,New patient priority A1,Region 6
184,66.72446013915672,Ambulance dispatched,Ambulance 6.0
184,248.21516420176272,Task complete,Ambulance 6.0
185,83.36079674615682,New patient priority A1,Region 1
